LIST SIZE;TIME TAKEN;STDEV
10000;1.7E-6s;7.806773438412E8
10000;1.2E-6s;7.792412796592001E8
10000;1.1E-6s;7.790140428299999E8
10000;1.3E-6s;7.794885084908E8
10000;2.0E-6s;7.817788863791999E8
10000;1.5E-6s;7.800429421611999E8
10000;1.0E-6s;7.788067980031999E8
10000;3.0E-6s;7.867501749952E8
10000;1.8E-6s;7.810245326847999E8
10000;1.3E-6s;7.794885084908E8
10000;1.3E-6s;7.794885084908E8
10000;1.3E-6s;7.794885084908E8
10000;1.5E-6s;7.800429421611999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;3.3E-6s;7.886314056268E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.5E-6s;7.800429421611999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.3E-6s;7.794885084908E8
10000;1.3E-6s;7.794885084908E8
10000;1.9E-6s;7.813917135308E8
10000;1.6E-6s;7.80350147E8
10000;1.5E-6s;7.800429421611999E8
10000;1.1E-6s;7.790140428299999E8
10000;3.4E-6s;7.892984665088E8
10000;1.1E-6s;7.790140428299999E8
10000;1.5E-6s;7.800429421611999E8
10000;1.3E-6s;7.794885084908E8
10000;1.8E-6s;7.810245326847999E8
10000;1.4E-6s;7.797557293248E8
10000;1.1E-6s;7.790140428299999E8
10000;1.3E-6s;7.794885084908E8
10000;1.3E-6s;7.794885084908E8
10000;3.8E-6s;7.921666300608001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.3E-6s;7.794885084908E8
10000;1.2E-6s;7.792412796592001E8
10000;1.1E-6s;7.790140428299999E8
10000;1.4E-6s;7.797557293248E8
10000;1.1E-6s;7.790140428299999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.0E-6s;7.788067980031999E8
10000;1.6E-6s;7.80350147E8
10000;1.1E-6s;7.790140428299999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.0E-6s;7.788067980031999E8
10000;1.2E-6s;7.792412796592001E8
10000;7.3E-6s;8.309076027788001E8
10000;6.0E-6s;8.136592422832E8
10000;9.0E-7s;7.786195451788E8
10000;1.3E-6s;7.794885084908E8
10000;1.4E-6s;7.797557293248E8
10000;1.1E-6s;7.790140428299999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.0E-6s;7.788067980031999E8
10000;1.5E-6s;7.800429421611999E8
10000;1.4E-6s;7.797557293248E8
10000;2.7E-6s;7.850488723851999E8
10000;1.4E-6s;7.797557293248E8
10000;1.3E-6s;7.794885084908E8
10000;3.3E-6s;7.886314056268E8
10000;1.0E-6s;7.788067980031999E8
10000;1.6E-6s;7.80350147E8
10000;1.3E-6s;7.794885084908E8
10000;1.3E-6s;7.794885084908E8
10000;1.4E-6s;7.797557293248E8
10000;1.1E-6s;7.790140428299999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.3E-6s;7.794885084908E8
10000;1.4E-6s;7.797557293248E8
10000;1.5E-6s;7.800429421611999E8
10000;3.3E-6s;7.886314056268E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.3E-6s;7.794885084908E8
10000;1.2E-6s;7.792412796592001E8
10000;1.4E-6s;7.797557293248E8
10000;1.0E-6s;7.788067980031999E8
10000;1.5E-6s;7.800429421611999E8
10000;1.1E-6s;7.790140428299999E8
10000;3.2E-6s;7.879843367471999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.3E-6s;7.794885084908E8
10000;1.5E-6s;7.800429421611999E8
10000;1.0E-6s;7.788067980031999E8
10000;1.3E-6s;7.794885084908E8
10000;1.3E-6s;7.794885084908E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;3.4E-6s;7.892984665088E8
10000;1.4E-6s;7.797557293248E8
10000;1.2E-6s;7.792412796592001E8
10000;1.0E-6s;7.788067980031999E8
10000;4.0E-6s;7.937206638512E8
10000;1.8E-6s;7.810245326847999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.3E-6s;7.794885084908E8
10000;1.4E-6s;7.797557293248E8
10000;1.1E-6s;7.790140428299999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;3.2E-6s;7.879843367471999E8
10000;1.3E-6s;7.794885084908E8
10000;1.2E-6s;7.792412796592001E8
10000;1.3E-6s;7.794885084908E8
10000;1.1E-6s;7.790140428299999E8
10000;1.3E-6s;7.794885084908E8
10000;1.3E-6s;7.794885084908E8
10000;1.6E-6s;7.80350147E8
10000;1.1E-6s;7.790140428299999E8
10000;1.4E-6s;7.797557293248E8
10000;1.1E-6s;7.790140428299999E8
10000;4.0E-6s;7.937206638512E8
10000;1.4E-6s;7.797557293248E8
10000;1.3E-6s;7.794885084908E8
10000;1.1E-6s;7.790140428299999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.6E-6s;7.80350147E8
10000;1.6E-6s;7.80350147E8
10000;1.3E-6s;7.794885084908E8
10000;1.3E-6s;7.794885084908E8
10000;3.4E-6s;7.892984665088E8
10000;1.1E-6s;7.790140428299999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.1E-6s;7.790140428299999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.1E-6s;7.790140428299999E8
10000;3.6E-6s;7.906925642799999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.1E-6s;7.790140428299999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.1E-6s;7.790140428299999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.4E-6s;7.797557293248E8
10000;1.2E-6s;7.792412796592001E8
10000;3.3E-6s;7.886314056268E8
10000;1.1E-6s;7.790140428299999E8
10000;1.3E-6s;7.794885084908E8
10000;1.0E-6s;7.788067980031999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.1E-6s;7.790140428299999E8
10000;1.4E-6s;7.797557293248E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;3.4E-6s;7.892984665088E8
10000;1.6E-6s;7.80350147E8
10000;1.3E-6s;7.794885084908E8
10000;1.1E-6s;7.790140428299999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.5E-6s;7.800429421611999E8
10000;1.5E-6s;7.800429421611999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.7E-6s;7.806773438412E8
10000;1.1E-6s;7.790140428299999E8
10000;4.3E-6s;7.962016545548E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.4E-6s;7.797557293248E8
10000;1.1E-6s;7.790140428299999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.4E-6s;7.797557293248E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;3.5E-6s;7.899855193932E8
10000;1.3E-6s;7.794885084908E8
10000;1.3E-6s;7.794885084908E8
10000;1.2E-6s;7.792412796592001E8
10000;1.5E-6s;7.800429421611999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.1E-6s;7.790140428299999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.1E-6s;7.790140428299999E8
10000;3.9E-6s;7.929336509548E8
10000;1.3E-6s;7.794885084908E8
10000;1.24E-5s;9.312011957168E8
10000;1.3E-6s;7.794885084908E8
10000;1.2E-6s;7.792412796592001E8
10000;1.0E-6s;7.788067980031999E8
10000;1.8E-6s;7.810245326847999E8
10000;1.4E-6s;7.797557293248E8
10000;1.2E-6s;7.792412796592001E8
10000;3.4E-6s;7.892984665088E8
10000;1.1E-6s;7.790140428299999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.3E-6s;7.794885084908E8
10000;1.3E-6s;7.794885084908E8
10000;1.0E-6s;7.788067980031999E8
10000;1.3E-6s;7.794885084908E8
10000;3.6E-6s;7.906925642799999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.7E-6s;7.806773438412E8
10000;1.0E-6s;7.788067980031999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.1E-6s;7.790140428299999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.0E-6s;7.788067980031999E8
10000;1.2E-6s;7.792412796592001E8
10000;3.6E-6s;7.906925642799999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.1E-6s;7.790140428299999E8
